127.0.0.1 - - [24/Sep/2024:20:42:52 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:42:53 -0500] "GET /ProyectoJPAMavenMarNoche/index.jsp HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:45:01 -0500] "GET /ProyectoJPAMavenMarNoche/index.jsp HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:45:10 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:48:34 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:49:07 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:49:07 -0500] "GET /ProyectoJPAMavenMarNoche/red HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:49:07 -0500] "GET /ProyectoJPAMavenMarNoche/red HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:49:47 -0500] "GET /ProyectoJPAMavenMarNoche/index.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:50:00 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:50:59 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:51:23 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:51:34 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:51:52 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:52:50 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:54:07 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:54:53 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:55:25 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:55:41 -0500] "GET /ProyectoJPAMavenMarNoche/ HTTP/1.1" 200 122
